date, pm25, pm10, o3, no2, so2, co
2024/3/26, 27, 25, 31, 4, 1, 
2024/3/27, 21, 11, 34, 6, 1, 
2024/3/28, 20, 10, 32, 4, 1, 
2024/3/29, 23, 4, 36, 3, , 
2024/3/30, 15, 2, 41, 1, , 
2024/3/31, 12, 3, 36, 1, 1, 
2023/10/1, 46, 23, 31, 5, , 
2023/10/2, 53, 23, 30, 5, , 
2023/10/3, 60, 25, 29, 5, 1, 
2023/10/4, 63, 30, 26, 7, 1, 
2023/10/5, 68, 29, 25, 7, , 
2023/10/6, 69, 23, 30, 2, 1, 
2023/10/7, 66, 23, 28, 4, 1, 
2023/10/8, 66, 19, 30, 4, 1, 
2023/10/9, 58, 23, 28, 6, 1, 
2023/10/10, 56, 26, 29, 6, 1, 
2023/10/11, 61, 21, 33, 3, 1, 
2023/10/12, 63, 25, 28, 8, 1, 
2023/10/13, 65, 27, 21, 6, 1, 
2023/10/14, 62, 21, 28, 4, 1, 
2023/10/15, 58, 27, 34, 6, 1, 
2023/10/16, 55, 30, 28, 5, 1, 
2023/10/17, 69, 33, 22, 5, 1, 
2023/10/18, 46, 28, 28, 6, 1, 
2023/10/19, 30, 22, 26, 3, 1, 
2023/10/20, 24, 7, 21, 4, 1, 
2023/10/21, 18, 9, 28, 4, 1, 
2023/10/22, 22, 17, 23, 7, 1, 
2023/10/23, 29, 14, 22, 5, 1, 
2023/10/24, 17, 18, 20, 4, 1, 
2023/10/25, 21, 26, 25, 3, 1, 
2023/10/26, 31, 25, 23, 6, 1, 
2023/10/27, 29, 8, 24, 3, 1, 
2023/10/28, 20, 9, 26, 4, , 
2023/10/29, 26, 25, 22, 7, 1, 
2023/10/30, 28, 29, 16, 12, 1, 
2023/10/31, 46, 17, 26, 5, , 
2023/11/1, 30, 48, 31, 2, 1, 
2023/11/2, 37, 18, 31, 2, 1, 
2023/11/3, 20, 12, 37, 1, 1, 
2023/11/4, 20, 9, 35, 4, 1, 
2023/11/5, 27, 24, 26, 8, 1, 
2023/11/6, 30, 23, 25, 8, 1, 
2023/11/7, 30, 29, 21, 11, 1, 
2023/11/8, 36, 27, 28, 9, , 
2023/11/9, 29, 24, 28, 4, , 
2023/11/10, 30, 15, 27, 1, , 
2023/11/11, 22, 6, 28, 4, , 
2023/11/12, 17, 20, 17, 9, 1, 
2023/11/13, 24, 23, 15, 10, 1, 
2023/11/14, 28, 28, 19, 11, 1, 
2023/11/15, 39, 35, 17, 15, 1, 
2023/11/16, 66, 35, 18, 14, 1, 
2023/11/17, 59, 22, 29, 7, 1, 
