date, pm25, pm10, o3, no2, so2, co
2023/11/6, 5, 2, 28, 6, 1, 
2023/11/7, 6, 3, 18, 9, 1, 
2023/11/8, 10, 2, 20, 8, 4, 
2023/11/9, 5, 2, 20, 4, , 
2023/11/13, 12, 4, 14, 12, 2, 
2023/11/14, 9, 5, 15, 13, 1, 
2023/11/15, 11, 10, 12, 17, 1, 
2023/11/16, 23, 9, 13, 16, 1, 
2023/11/17, 21, 12, 21, 10, , 
2023/11/18, 26, 13, 18, 10, 1, 
2023/11/19, 30, 26, 17, 14, 1, 
2023/11/20, 52, 15, 22, 6, 1, 
2023/11/21, 25, 4, 21, 9, 1, 
2023/11/22, 9, 7, 20, 14, 1, 
2023/11/23, 16, 10, 16, 14, 1, 
2023/11/24, 19, 11, 18, 12, 1, 
2023/11/25, 24, 12, 19, 8, 1, 
2023/11/26, 26, 16, 19, 8, 1, 
2023/11/27, 28, 11, 20, 5, 1, 
2023/11/28, 19, 4, 21, 5, 1, 
2023/11/29, 9, 5, 24, 4, 1, 
2023/11/30, 7, 12, 27, 6, 1, 
2023/12/1, 14, 3, 23, 5, 1, 
2023/12/2, 9, 6, 18, 9, 1, 
2023/12/3, 16, 5, 23, 7, 1, 
2023/12/4, 14, 5, 19, 13, 1, 
2023/12/5, 15, 12, 24, 9, , 
2023/12/6, 25, 10, 23, 8, 1, 
2023/12/7, 22, 1, 29, 2, 1, 
2023/12/8, 6, 2, 23, 6, , 
2023/12/9, 6, 1, 19, 3, 1, 
2023/12/10, 5, 6, 14, 13, 1, 
2023/12/11, 17, 4, 11, 13, 1, 
2023/12/12, 10, 4, 19, 11, 1, 
2023/12/13, 6, 3, 24, 6, 1, 
2023/12/14, 7, 9, 19, 18, 2, 
2023/12/15, 17, 7, 25, 11, 1, 
2023/12/16, 18, 10, 26, 8, , 
2023/12/17, 22, 15, 12, 16, 1, 
2023/12/18, 32, 13, 12, 19, 2, 
2023/12/19, 27, 14, 24, 9, , 
2023/12/20, 18, 22, 16, 16, 2, 
2023/12/21, 23, 26, 16, 16, 2, 
