date, pm25, pm10, o3, no2, so2, co
2024/1/12, 24, 11, 23, 2, 2, 
2024/1/13, 30, 13, 25, 1, 1, 
2024/1/14, 23, 3, 25, 1, 1, 
2024/1/15, 9, 9, 29, 1, , 
2024/1/16, 23, 9, 30, 1, , 
2024/1/17, 13, 3, 28, , , 
2024/1/18, 7, , 17, , 1, 
2024/1/25, 22, 7, 24, 2, , 
2024/1/26, 23, 10, 27, 2, 1, 
2024/1/27, 36, 11, 26, 1, 2, 
2024/1/28, 39, 13, 25, , 1, 
2024/1/29, 45, 19, 23, 2, , 
2024/1/30, 62, 18, 26, 1, , 
2024/1/31, 62, 19, 25, 2, 2, 
2024/2/1, 55, 19, 27, 1, 1, 
2024/2/2, 51, 16, 29, 1, 1, 
2024/2/3, 51, 12, 28, 3, 1, 
2024/2/4, 39, 9, 31, , 2, 
2024/2/5, 28, 12, 23, 3, 1, 
2024/2/6, 36, 10, 29, , 1, 
2024/2/7, 29, 15, 30, , 1, 
2024/2/8, 38, 5, 26, 1, 1, 
2024/2/9, 19, 2, 30, , 1, 
2024/2/10, 9, 3, 28, , 1, 
2024/2/11, 13, 2, 31, , 1, 
2024/2/12, 7, 2, 28, , , 
2024/2/13, 9, 4, 24, , , 
2024/2/14, 14, 5, 29, , , 
2024/2/15, 18, 3, 32, , , 
2024/2/16, 16, 6, 30, , , 
2024/2/17, 12, 4, 29, , , 
2024/2/18, 17, 3, 30, 1, 1, 
2024/2/19, 16, 5, 33, 1, 1, 
2024/2/20, 19, 9, 30, 1, 2, 
2024/2/21, 26, 4, 28, , 1, 
2024/2/22, 10, 2, 31, , 2, 
2024/2/23, 5, 5, 32, , 1, 
2024/2/24, 8, 3, 26, , , 
2024/2/25, 10, 1, 29, , , 
2024/2/26, 5, 6, 32, , , 
2024/2/27, 9, 3, 33, , 1, 
2024/2/28, 7, 4, 33, , , 
2024/2/29, 11, 5, 31, , 1, 
2024/3/1, 13, 5, 37, , 1, 
2024/3/2, 17, 1, 33, , 3, 
2024/3/3, 6, 1, 28, 1, 2, 
2024/3/4, 5, 3, 32, 2, , 
2024/3/5, 11, 4, 36, 1, , 
2024/3/6, 13, 6, 32, 1, , 
2024/3/7, 24, 2, 29, 1, , 
2024/3/8, 11, 2, 34, , , 
2024/3/9, 11, , , , , 
2024/3/19, 21, 6, 35, 1, 1, 
2024/3/20, 22, 13, 32, 2, 1, 
2024/3/21, 36, 26, 33, 2, 1, 
2024/3/22, 35, 24, 34, 1, 1, 
2024/3/23, 44, 13, 31, 1, 1, 
2024/3/24, 38, 7, 24, 1, 1, 
2024/3/25, 29, 2, 32, 1, 1, 
2024/3/26, 14, 1, 28, 2, , 
2024/3/28, 8, 2, 32, , 1, 
2024/3/29, 7, 3, 34, 4, 1, 
2024/3/30, 14, 2, 35, 4, 1, 
2024/3/31, 8, 1, 34, 4, 1, 
2023/10/1, 18, 11, 36, 3, 1, 
2023/10/2, 33, 12, 35, 3, 1, 
2023/10/3, 44, 15, 36, 3, 1, 
